Time,Data_476259_R_Mean as feed [degC],Data_476265_R_Mean as feed [degC],Data_476264_R_Mean as feed [degC],Data_476263_R_Mean as feed [degC],Data_476261_R_Mean as feed [degC],Data_476260_R_Mean as feed [degC],Data_476262_R_Mean as feed [degC]
01/11/2023 00:00,49.79999924,49.59999847,49.59999847,46.79999924,22,54.79999924,54
01/11/2023 00:30,49.70000076,49.59999847,49.5,46.79999924,22,54.79999924,53.79999924
01/11/2023 01:00,49.59999847,49.5,49.5,46.5,22.89999962,54.70000076,52.90000153
01/11/2023 01:30,49.59999847,49.5,49.40000153,46.40000153,22.89999962,54.70000076,51.79999924
01/11/2023 02:00,49.5,49.5,49.29999924,46.09999847,23.70000076,54.59999847,48.29999924
01/11/2023 02:30,49.5,49.40000153,49.29999924,45.90000153,23.70000076,54.59999847,44.90000153
01/11/2023 03:00,49.40000153,49.29999924,49.09999847,45.59999847,24.29999924,54.5,42.5
01/11/2023 03:30,49.29999924,49.29999924,49.09999847,45.5,24.29999924,54.29999924,41.09999847
01/11/2023 04:00,49.29999924,49.09999847,49,45.20000076,24.89999962,54.09999847,41.29999924
01/11/2023 04:30,49.20000076,49.09999847,49,45,24.89999962,53.70000076,41.29999924
01/11/2023 05:00,49.09999847,49.09999847,48.90000153,44.79999924,25.29999924,51.29999924,48.5
01/11/2023 05:30,49.09999847,49,48.79999924,44.59999847,25.29999924,51.29999924,48.5
01/11/2023 06:00,49,49,48.79999924,44.79999924,25.79999924,55.79999924,53
01/11/2023 06:30,49,48.90000153,48.70000076,44.70000076,25.79999924,55.79999924,52.90000153
01/11/2023 07:00,48.90000153,48.79999924,48.59999847,44.59999847,26.10000038,55.70000076,49.5
01/11/2023 07:30,48.79999924,48.79999924,48.59999847,44.29999924,25.89999962,55.59999847,41.29999924
01/11/2023 08:00,48.79999924,48.59999847,48.29999924,40.79999924,17.89999962,54.79999924,39.70000076
01/11/2023 08:30,48.70000076,48.59999847,47.79999924,38,14.80000019,53.79999924,39.70000076
01/11/2023 09:00,48.59999847,48.5,47.5,36.90000153,14.60000038,53.09999847,40.09999847
01/11/2023 09:30,48.59999847,48.5,47.5,36.59999847,14.60000038,47.5,40.09999847
01/11/2023 10:00,48.5,48.29999924,47.20000076,36.29999924,14.89999962,52.5,50.90000153
01/11/2023 10:30,48.5,48.29999924,47.09999847,36.29999924,14.89999962,52.5,50.90000153
01/11/2023 11:00,48.29999924,48.20000076,47,36.70000076,15.5,55.5,53.09999847
01/11/2023 11:30,48.29999924,48.20000076,46.90000153,36.5,15.5,55.5,52.79999924
01/11/2023 12:00,48.20000076,48.09999847,46.70000076,36,16,55.5,46.09999847
01/11/2023 12:30,48.09999847,48,46.59999847,35.70000076,16,55.29999924,41.70000076
01/11/2023 13:00,48.09999847,48,46.5,35.40000153,16.5,54.70000076,40.5
01/11/2023 13:30,48,48,46.40000153,35.09999847,16.5,54.09999847,40.29999924
01/11/2023 14:00,48,47.90000153,46.29999924,34.59999847,16.79999924,53.59999847,40.5
01/11/2023 14:30,47.90000153,47.79999924,45.59999847,32.29999924,15.10000038,53.20000076,40.5
01/11/2023 15:00,50.59999847,50.5,50.5,50.40000153,15.60000038,49.90000153,40.20000076
01/11/2023 15:30,50.59999847,50.5,50.5,50.40000153,15.5,49,40.20000076
01/11/2023 16:00,50.59999847,50.5,50.5,50.40000153,15,50.70000076,48.90000153
01/11/2023 16:30,50.5,50.5,50.5,50.29999924,15,50.70000076,48.90000153
01/11/2023 17:00,50.5,50.40000153,50.40000153,50.20000076,15.80000019,55,53.59999847
01/11/2023 17:30,50.40000153,50.29999924,50.29999924,50,13.89999962,55,52.79999924
01/11/2023 18:00,50.29999924,50.29999924,50.20000076,49.59999847,14.10000038,55,50.79999924
01/11/2023 18:30,50.29999924,50.20000076,50.09999847,48.90000153,13.80000019,54.90000153,43.5
01/11/2023 19:00,50.20000076,50.09999847,50.09999847,47.20000076,13.5,54.79999924,41.59999847
01/11/2023 19:30,50.09999847,50.09999847,50,46.79999924,13.5,54.79999924,41.29999924
01/11/2023 20:00,50.09999847,50,49.90000153,45.79999924,14.19999981,54.59999847,41.09999847
01/11/2023 20:30,50,50,49.79999924,44,13.80000019,54.40000153,41.09999847
01/11/2023 21:00,50,49.90000153,49.79999924,43.29999924,14,53.79999924,41.29999924
01/11/2023 21:30,49.90000153,49.79999924,49.59999847,37.5,13,53.09999847,41.29999924
01/11/2023 22:00,49.79999924,49.70000076,49.59999847,37.29999924,13.30000019,50.09999847,48
01/11/2023 22:30,49.79999924,49.59999847,49.5,37.20000076,13.30000019,49.90000153,48
01/11/2023 23:00,49.70000076,49.59999847,49.40000153,37.09999847,13.89999962,54,53
01/11/2023 23:30,49.59999847,49.59999847,49.29999924,36.90000153,13.89999962,54,52.79999924
02/11/2023 00:00,49.59999847,49.5,49.20000076,36.70000076,14.30000019,53.90000153,52.29999924
02/11/2023 00:30,49.5,49.5,49.09999847,36.5,14.30000019,53.90000153,51.79999924
02/11/2023 01:00,49.5,49.29999924,49.09999847,36.29999924,14.89999962,53.79999924,50.79999924
02/11/2023 01:30,49.40000153,49.29999924,49,36.09999847,14.89999962,53.79999924,49.90000153
02/11/2023 02:00,49.29999924,49.20000076,48.90000153,35.79999924,15.39999962,53.79999924,48.90000153
02/11/2023 02:30,49.29999924,49.09999847,48.90000153,35.59999847,15.39999962,53.79999924,47.90000153
02/11/2023 03:00,49.20000076,49.09999847,48.79999924,35.40000153,16,53.79999924,47.29999924
02/11/2023 03:30,49.09999847,49.09999847,48.70000076,35.29999924,16,53.59999847,46.59999847
02/11/2023 04:00,49,49,48.59999847,35,16.39999962,53.5,45.59999847
02/11/2023 04:30,49,48.90000153,48.5,34.90000153,16.39999962,53.29999924,43
02/11/2023 05:00,48.90000153,48.79999924,48.40000153,34.70000076,16.89999962,52.70000076,42.09999847
02/11/2023 05:30,48.90000153,48.79999924,48.29999924,34.59999847,16.89999962,50.59999847,42.09999847
02/11/2023 06:00,48.79999924,48.70000076,48.09999847,32.90000153,15.30000019,53.20000076,52.70000076
02/11/2023 06:30,48.79999924,48.59999847,48,32.90000153,15.30000019,53.20000076,52.70000076
02/11/2023 07:00,48.59999847,48.59999847,48,33,15.89999962,53.09999847,45.59999847
